category,job,characters,movie,person
actor,\N,"[""Ethan Hunt""]",Mission: Impossible - Fallout,Tom Cruise
actor,\N,"[""August Walker""]",Mission: Impossible - Fallout,Henry Cavill
actor,\N,"[""Luther Stickell""]",Mission: Impossible - Fallout,Ving Rhames
director,\N,\N,Mission: Impossible - Fallout,Christopher McQuarrie
writer,based on the television series created by,\N,Mission: Impossible - Fallout,Bruce Geller
actor,\N,"[""Jung Chae-San""]",Mil-jeong,Lee Byung-hun
actor,\N,"[""Kim Woo-Jin""]",Mil-jeong,Gong Yoo
actor,\N,"[""Lee Jung-Chool""]",Mil-jeong,Song Kang-ho
director,director,\N,Mil-jeong,Kim Jee-woon
writer,writer,\N,Mil-jeong,Kim Jee-woon
actor,\N,"[""Bryan Stevenson""]",Just Mercy,Michael B. Jordan
actor,\N,"[""Walter McMillian""]",Just Mercy,Jamie Foxx
actress,\N,"[""Eva Ansley""]",Just Mercy,Brie Larson
director,\N,\N,Just Mercy,Destin Daniel Cretton
writer,written by,\N,Just Mercy,Destin Daniel Cretton
actress,\N,"[""Lady Bird McPherson""]",Lady Bird,Saoirse Ronan
actress,\N,"[""Marion McPherson""]",Lady Bird,Laurie Metcalf
actor,\N,"[""Larry McPherson""]",Lady Bird,Tracy Letts
director,\N,\N,Lady Bird,Greta Gerwig
writer,written by,\N,Lady Bird,Greta Gerwig
actor,\N,"[""Ashwin Kumar""]",Talvar,Irrfan Khan
actress,\N,"[""Nutan Tandon""]",Talvar,Konkona Sen Sharma
actor,\N,"[""Ramesh Tandon""]",Talvar,Neeraj Kabi
director,\N,\N,Talvar,Meghna Gulzar
writer,\N,\N,Talvar,Vishal Bhardwaj
actor,\N,"[""Romeo Aldea""]",Bacalaureat,Adrian Titieni
actress,\N,"[""Eliza Aldea""]",Bacalaureat,Maria Dragus
actress,\N,"[""Magda""]",Bacalaureat,Lia Bugnar
director,\N,\N,Bacalaureat,Cristian Mungiu
writer,\N,\N,Bacalaureat,Cristian Mungiu
actor,\N,"[""Velarde""]",Que Dios nos perdone,Antonio de la Torre
actor,\N,"[""Alfaro""]",Que Dios nos perdone,Roberto Álamo
actor,\N,"[""Andrés""]",Que Dios nos perdone,Javier Pereira
director,\N,\N,Que Dios nos perdone,Rodrigo Sorogoyen
writer,written by,\N,Que Dios nos perdone,Isabel Peña
actress,\N,"[""Mamie Till-Mobley""]",Till,Danielle Deadwyler
actor,\N,"[""Emmett Till""]",Till,Jalyn Hall
actor,\N,"[""John Carthan""]",Till,Frankie Faison
director,\N,\N,Till,Chinonye Chukwu
writer,written by,\N,Till,Michael Reilly
actor,\N,"[""Dennis""]",Split,James McAvoy
actor,\N,"[""Patricia""]",Split,James McAvoy
actor,\N,"[""Hedwig""]",Split,James McAvoy
director,\N,\N,Split,M. Night Shyamalan
writer,written by,\N,Split,M. Night Shyamalan
actor,\N,"[""Juan""]",Moonlight,Mahershala Ali
actress,\N,"[""Paula""]",Moonlight,Naomie Harris
actor,\N,"[""Black""]",Moonlight,Trevante Rhodes
director,\N,\N,Moonlight,Barry Jenkins
writer,screenplay by,\N,Moonlight,Barry Jenkins
actor,\N,"[""Athreya""]",24,Suriya
actor,\N,"[""Mani""]",24,Suriya
actor,\N,"[""Sethuraman""]",24,Suriya
director,\N,\N,24,Vikram K. Kumar
writer,dialogue,\N,24,Vikram Kumar
actor,\N,"[""Abdul Khaaliq""]",Maanaadu,Silambarasan TR
actor,\N,"[""Dhanushkodi""]",Maanaadu,S.J. Suryah
actress,\N,"[""Seetha Lakshmi""]",Maanaadu,Kalyani Priyadarshan
director,\N,\N,Maanaadu,Venkat Prabhu
writer,written by,\N,Maanaadu,Venkat Prabhu
actor,\N,"[""Mithran IPS""]",Thani Oruvan,Ravi Mohan
actor,\N,"[""Siddharth Abimanyu""]",Thani Oruvan,Arvind Swamy
actress,\N,"[""Mahima""]",Thani Oruvan,Nayanthara
director,director,\N,Thani Oruvan,Mohan Raja
writer,story,\N,Thani Oruvan,Mohan Raja
actor,\N,"[""Pandi Ravi""]",Visaranai,Dinesh
actor,\N,"[""Muthuvel""]",Visaranai,Samuthirakani
actress,\N,"[""Shanthi""]",Visaranai,Anandhi
director,\N,\N,Visaranai,Vetrimaaran
writer,\N,\N,Visaranai,Chandrakumar
actor,\N,"[""Christian""]",The Square,Claes Bang
actress,\N,"[""Anne""]",The Square,Elisabeth Moss
actor,\N,"[""Julian""]",The Square,Dominic West
director,\N,\N,The Square,Ruben Östlund
writer,\N,\N,The Square,Ruben Östlund
actress,\N,"[""Sharon""]",Ordinary Angels,Hilary Swank
actor,\N,"[""Ed""]",Ordinary Angels,Alan Ritchson
actress,\N,"[""Michelle""]",Ordinary Angels,Emily Mitchell
director,\N,\N,Ordinary Angels,Jon Gunn
writer,screenplay,\N,Ordinary Angels,Meg Tilly
actor,\N,"[""Tommy""]",Dunkirk,Fionn Whitehead
actor,\N,"[""George""]",Dunkirk,Barry Keoghan
actor,\N,"[""Mr. Dawson""]",Dunkirk,Mark Rylance
director,\N,\N,Dunkirk,Christopher Nolan
writer,written by,\N,Dunkirk,Christopher Nolan
actress,\N,"[""Mildred""]","Three Billboards Outside Ebbing, Missouri",Frances McDormand
actor,\N,"[""Willoughby""]","Three Billboards Outside Ebbing, Missouri",Woody Harrelson
actor,\N,"[""Dixon""]","Three Billboards Outside Ebbing, Missouri",Sam Rockwell
director,\N,\N,"Three Billboards Outside Ebbing, Missouri",Martin McDonagh
writer,written by,\N,"Three Billboards Outside Ebbing, Missouri",Martin McDonagh
actor,\N,"[""Adrien Rivoire""]",Frantz,Pierre Niney
actress,\N,"[""Anna""]",Frantz,Paula Beer
actor,\N,"[""Doktor Hans Hoffmeister""]",Frantz,Ernst Stötzner
director,\N,\N,Frantz,François Ozon
writer,scenario,\N,Frantz,François Ozon
actress,\N,"[""Ellen Hutter""]",Nosferatu,Lily-Rose Depp
actor,\N,"[""Thomas Hutter""]",Nosferatu,Nicholas Hoult
actor,\N,"[""Count Orlok""]",Nosferatu,Bill Skarsgård
director,\N,\N,Nosferatu,Robert Eggers
writer,written for the screen by,\N,Nosferatu,Robert Eggers
actor,\N,"[""Chris Washington""]",Get Out,Daniel Kaluuya
actress,\N,"[""Rose Armitage""]",Get Out,Allison Williams
actor,\N,"[""Dean Armitage""]",Get Out,Bradley Whitford
director,\N,\N,Get Out,Jordan Peele
writer,written by,\N,Get Out,Jordan Peele
actor,\N,"[""Alejandro""]",Sicario: Day of the Soldado,Benicio Del Toro
actor,\N,"[""Matt Graver""]",Sicario: Day of the Soldado,Josh Brolin
actress,\N,"[""Isabel Reyes""]",Sicario: Day of the Soldado,Isabela Merced
director,director,\N,Sicario: Day of the Soldado,Stefano Sollima
writer,written by,\N,Sicario: Day of the Soldado,Taylor Sheridan
actor,\N,"[""Mahavir Singh Phogat""]",Dangal,Aamir Khan
actress,\N,"[""Daya Kaur""]",Dangal,Sakshi Tanwar
actress,\N,"[""Geeta Phogat""]",Dangal,Fatima Sana Shaikh
director,\N,\N,Dangal,Nitesh Tiwari
writer,\N,\N,Dangal,Piyush Gupta
actor,\N,"[""Samuel""]",Demain tout commence,Omar Sy
actress,\N,"[""Kristin""]",Demain tout commence,Clémence Poésy
actor,\N,"[""Bernie""]",Demain tout commence,Antoine Bertrand
director,\N,\N,Demain tout commence,Hugo Gélin
writer,"based upon the feature film ""Instructions Not Included"" directed by",\N,Demain tout commence,Eugenio Derbez
actor,\N,"[""Charlie""]",Charlie,Dulquer Salmaan
actress,\N,"[""Tessa""]",Charlie,Parvathy Thiruvothu
actress,\N,"[""Dr. Kani""]",Charlie,Aparna Gopinath
director,\N,\N,Charlie,Martin Prakkat
writer,screenplay,\N,Charlie,Martin Prakkat
actress,\N,"[""Queen Anne""]",The Favourite,Olivia Colman
actress,\N,"[""Abigail""]",The Favourite,Emma Stone
actress,\N,"[""Lady Sarah""]",The Favourite,Rachel Weisz
director,\N,\N,The Favourite,Yorgos Lanthimos
writer,written by,\N,The Favourite,Deborah Davis
actor,\N,"[""Henri Charrière ('Papillon')""]",Papillon,Charlie Hunnam
actor,\N,"[""Doorman""]",Papillon,Damijan Oklopdzic
actor,\N,"[""Jean Castili""]",Papillon,Christopher Fairbank
director,\N,\N,Papillon,Michael Noer
writer,screenplay by,\N,Papillon,Aaron Guzikowski
actor,\N,"[""Abhiram""]",Nannaku Prematho,N.T. Rama Rao Jr.
actress,\N,"[""Divyanka""]",Nannaku Prematho,Rakul Preet Singh
actor,\N,"[""Krishnamurthy""]",Nannaku Prematho,Jagapathi Babu
director,\N,\N,Nannaku Prematho,Sukumar
writer,story,\N,Nannaku Prematho,Sukumar
actor,\N,"[""Chief""]",Isle of Dogs,Bryan Cranston
actor,\N,"[""Atari""]",Isle of Dogs,Koyu Rankin
actor,\N,"[""Rex""]",Isle of Dogs,Edward Norton
director,\N,\N,Isle of Dogs,Wes Anderson
writer,story by,\N,Isle of Dogs,Wes Anderson
actress,\N,"[""Raya""]",Raya and the Last Dragon,Kelly Marie Tran
actress,\N,"[""Sisu""]",Raya and the Last Dragon,Awkwafina
actress,\N,"[""Namaari""]",Raya and the Last Dragon,Gemma Chan
director,\N,\N,Raya and the Last Dragon,Don Hall
writer,screenplay by,\N,Raya and the Last Dragon,Qui Nguyen
actor,\N,"[""Leonhard Seppala""]",Togo,Willem Dafoe
actress,\N,"[""Constance Seppala""]",Togo,Julianne Nicholson
actor,\N,"[""Mayor George Maynard""]",Togo,Christopher Heyerdahl
director,\N,\N,Togo,Ericson Core
writer,screenplay,\N,Togo,Tom Flynn
actress,\N,"[""Rose-Lynn""]",Wild Rose,Jessie Buckley
actor,\N,"[""Prison Officer 1""]",Wild Rose,Matt Costello
actress,\N,"[""Prison Officer 2""]",Wild Rose,Jane Patterson
director,\N,\N,Wild Rose,Tom Harper
writer,written by,\N,Wild Rose,Nicole Taylor
actress,\N,"[""Ada Harris""]",Mrs. Harris Goes to Paris,Lesley Manville
actress,\N,"[""Claudine Colbert""]",Mrs. Harris Goes to Paris,Isabelle Huppert
actor,\N,"[""Marquis de Chassagne""]",Mrs. Harris Goes to Paris,Lambert Wilson
director,\N,\N,Mrs. Harris Goes to Paris,Anthony Fabian
writer,based on the novel by,\N,Mrs. Harris Goes to Paris,Paul Gallico
actor,\N,"[""Simon""]","Love, Simon",Nick Robinson
actress,\N,"[""Emily""]","Love, Simon",Jennifer Garner
actor,\N,"[""Jack""]","Love, Simon",Josh Duhamel
director,\N,\N,"Love, Simon",Greg Berlanti
writer,"based upon the novel ""Simon vs. the Homo Sapiens Agenda"" by",\N,"Love, Simon",Becky Albertalli
actor,\N,"[""Daniel Blake""]","I, Daniel Blake",Dave Johns
actress,\N,"[""Katie""]","I, Daniel Blake",Hayley Squires
actress,\N,"[""Sheila""]","I, Daniel Blake",Sharon Percy
director,\N,\N,"I, Daniel Blake",Ken Loach
writer,screenplay,\N,"I, Daniel Blake",Paul Laverty
actress,\N,"[""Trudy Ederle""]",Young Woman and the Sea,Daisy Ridley
actress,\N,"[""Meg Ederle""]",Young Woman and the Sea,Tilda Cobham-Hervey
actor,\N,"[""Bill Burgess""]",Young Woman and the Sea,Stephen Graham
director,director,\N,Young Woman and the Sea,Joachim Rønning
writer,written by,\N,Young Woman and the Sea,Jeff Nathanson
actor,\N,"[""Emad""]",Forooshande,Shahab Hosseini
actress,\N,"[""Rana""]",Forooshande,Taraneh Alidoosti
actress,\N,"[""Sanam""]",Forooshande,Mina Sadati
director,\N,\N,Forooshande,Asghar Farhadi
writer,written by,\N,Forooshande,Asghar Farhadi
actress,\N,"[""Robyn Goodfellowe""]",WolfWalkers,Honor Kneafsey
actress,\N,"[""Mebh Óg MacTíre""]",WolfWalkers,Eva Whittaker
actor,\N,"[""Bill Goodfellowe""]",WolfWalkers,Sean Bean
director,\N,\N,WolfWalkers,Tomm Moore
writer,screenplay,\N,WolfWalkers,Will Collins
actor,\N,"[""Petar Maras""]",Juzni vetar,Milos Bikovic
actor,\N,"[""Baca""]",Juzni vetar,Miodrag Radonjic
actor,\N,"[""Car""]",Juzni vetar,Dragan Bjelogrlic
director,\N,\N,Juzni vetar,Milos Avramovic
writer,\N,\N,Juzni vetar,Milos Avramovic
director,\N,\N,Supersonic,Mat Whitecross
actor,\N,"[""Japanese Man""]",Gokseong,Jun Kunimura
actor,\N,"[""Il-gwang""]",Gokseong,Hwang Jung-min
actor,\N,"[""Jong-goo""]",Gokseong,Kwak Do-won
director,\N,\N,Gokseong,Na Hong-jin
writer,screenplay by,\N,Gokseong,Na Hong-jin
actress,\N,"[""Clara""]",Aquarius,Sonia Braga
actress,\N,"[""Ana Paula""]",Aquarius,Maeve Jinkings
actor,\N,"[""Roberval""]",Aquarius,Irandhir Santos
director,\N,\N,Aquarius,Kleber Mendonça Filho
writer,written by,\N,Aquarius,Kleber Mendonça Filho
actor,\N,"[""Professor Dimitris Lainis""]",Eteros ego,Pigmalion Dadakaridis
actor,\N,"[""Aristotelis Adamantinos""]",Eteros ego,Dimitris Katalifos
actor,\N,"[""Lieutenant Colonel Apostolos Barasopoulos""]",Eteros ego,Manos Vakousis
director,\N,\N,Eteros ego,Sotiris Tsafoulias
writer,story editor,\N,Eteros ego,Pigmalion Dadakaridis
actor,\N,"[""Khaled""]",Toivon tuolla puolen,Sherwan Haji
actor,\N,"[""Waldemar Wikström""]",Toivon tuolla puolen,Sakari Kuosmanen
actress,\N,"[""Wikströmin vaimo""]",Toivon tuolla puolen,Kaija Pakarinen
director,\N,\N,Toivon tuolla puolen,Aki Kaurismäki
writer,\N,\N,Toivon tuolla puolen,Aki Kaurismäki
actor,\N,"[""Cibar Kemal""]",Iftarlik Gazoz,Cem Yilmaz
actor,\N,"[""Adem""]",Iftarlik Gazoz,Berat Efe Parlar
actor,\N,"[""Hasan""]",Iftarlik Gazoz,Yilmaz Bayraktar
director,\N,\N,Iftarlik Gazoz,Yüksel Aksu
writer,\N,\N,Iftarlik Gazoz,Yüksel Aksu
actor,\N,"[""Paterson""]",Paterson,Adam Driver
actress,\N,"[""Laura""]",Paterson,Golshifteh Farahani
actor,\N,"[""Marvin""]",Paterson,Nellie
director,\N,\N,Paterson,Jim Jarmusch
writer,written by,\N,Paterson,Jim Jarmusch
actor,\N,"[""Inder""]",Sanam Teri Kasam,Harshvardhan Rane
actress,\N,"[""Saraswati 'Saru' Parthasarthy""]",Sanam Teri Kasam,Mawra Hocane
actor,\N,"[""Mustakeen Bhai""]",Sanam Teri Kasam,Vijay Raaz
director,\N,\N,Sanam Teri Kasam,Radhika Rao
writer,\N,\N,Sanam Teri Kasam,Radhika Rao
actor,\N,"[""Edouard Péricourt""]",Au revoir là-haut,Nahuel Pérez Biscayart
actor,\N,"[""Albert Maillard""]",Au revoir là-haut,Albert Dupontel
actor,\N,"[""Henri d'Aulnay-Pradelle""]",Au revoir là-haut,Laurent Lafitte
director,\N,\N,Au revoir là-haut,Albert Dupontel
writer,adaptation & dialogue,\N,Au revoir là-haut,Albert Dupontel
director,\N,\N,O.J.: Made in America,Ezra Edelman
actor,\N,"[""(2016)""]",Tickled,Adam
director,\N,\N,Tickled,David Farrier
director,\N,\N,Weiner,Josh Kriegman
writer,\N,\N,Weiner,Josh Kriegman
actress,\N,"[""Neerja Bhanot""]",Neerja,Sonam Kapoor
actress,\N,"[""Rama Bhanot""]",Neerja,Shabana Azmi
actor,\N,"[""Harish Bhanot""]",Neerja,Yogendra Tikku
director,\N,\N,Neerja,Ram Madhvani
writer,story and screenplay,\N,Neerja,Saiwyn Quadras
actor,\N,"[""Shinoda Ryôta""]",Umi yori mo mada fukaku,Hiroshi Abe
actress,\N,"[""Shiraishi Kyôko""]",Umi yori mo mada fukaku,Yôko Maki
actress,\N,"[""Chinatsu Nakashima""]",Umi yori mo mada fukaku,Satomi Kobayashi
director,\N,\N,Umi yori mo mada fukaku,Hirokazu Koreeda
writer,original story,\N,Umi yori mo mada fukaku,Hirokazu Koreeda
actor,\N,"[""Thurgood Marshall""]",Marshall,Chadwick Boseman
actor,\N,"[""Sam Friedman""]",Marshall,Josh Gad
actress,\N,"[""Eleanor Strubing""]",Marshall,Kate Hudson
director,\N,\N,Marshall,Reginald Hudlin
writer,written by,\N,Marshall,Michael Koskoff
actor,\N,"[""Arjun Talwar""]",Jersey,Shahid Kapoor
actress,\N,"[""Vidya Talwar""]",Jersey,Mrunal Thakur
actor,\N,"[""Baali Sir""]",Jersey,Pankaj Kapur
director,\N,\N,Jersey,Gowtam Tinnanuri
writer,hindi dialogue,\N,Jersey,Mayank Jain
actress,\N,"[""Diana Nyad""]",Nyad,Annette Bening
actress,\N,"[""Bonnie Stoll""]",Nyad,Jodie Foster
actress,\N,"[""Candace""]",Nyad,Anne Marie Kempf
director,\N,\N,Nyad,Jimmy Chin
writer,screenplay,\N,Nyad,Julia Cox
actor,\N,"[""Adi Tomar""]",Irudhi Suttru,Madhavan
actor,\N,"[""Punch Pandian""]",Irudhi Suttru,Nassar
actor,\N,"[""Muralikrishnan""]",Irudhi Suttru,Radha Ravi
director,\N,\N,Irudhi Suttru,Sudha Kongara
writer,script,\N,Irudhi Suttru,Sudha Kongara
actor,\N,"[""Taki Tachibana""]",Kimi no na wa.,Ryûnosuke Kamiki
actress,\N,"[""Mitsuha Miyamizu""]",Kimi no na wa.,Mone Kamishiraishi
actor,\N,"[""Katsuhiko Teshigawara""]",Kimi no na wa.,Ryo Narita
director,\N,\N,Kimi no na wa.,Makoto Shinkai
writer,original story,\N,Kimi no na wa.,Makoto Shinkai
actor,\N,"[""Kurt Barnert""]",Werk ohne Autor,Tom Schilling
actor,\N,"[""Professor Carl Seeband""]",Werk ohne Autor,Sebastian Koch
actress,\N,"[""Ellie Seeband""]",Werk ohne Autor,Paula Beer
director,\N,\N,Werk ohne Autor,Florian Henckel von Donnersmarck
writer,written by,\N,Werk ohne Autor,Florian Henckel von Donnersmarck
actress,\N,"[""Archana Patil (Archie)""]",Sairat,Rinku Rajguru
actor,\N,"[""Prashant Kale (Parshya)""]",Sairat,Akash Thosar
actor,\N,"[""Salim Shaikh (Sallya)""]",Sairat,Arbaz Shaikh
director,\N,\N,Sairat,Nagraj Manjule
writer,story and screenplay,\N,Sairat,Nagraj Manjule
actor,\N,"[""Shôya Ishida""]",Koe no katachi,Miyu Irino
actress,\N,"[""Shoko Nishimiya""]",Koe no katachi,Saori Hayami
actress,\N,"[""Yuzuru Nishimiya""]",Koe no katachi,Aoi Yûki
director,\N,\N,Koe no katachi,Naoko Yamada
writer,"manga: ""Koe no katachi""",\N,Koe no katachi,Yoshitoki Ôima
actor,\N,"[""Special Agent Chester Desmond""]",Twin Peaks: The Missing Pieces,Chris Isaak
actor,\N,"[""Sam Stanley""]",Twin Peaks: The Missing Pieces,Kiefer Sutherland
actor,\N,"[""Jack at Hap's""]",Twin Peaks: The Missing Pieces,C.H. Evans
director,\N,\N,Twin Peaks: The Missing Pieces,David Lynch
writer,television series Twin Peaks,\N,Twin Peaks: The Missing Pieces,David Lynch
actor,\N,"[""Charley""]",Lean on Pete,Charlie Plummer
actress,\N,"[""Lynn""]",Lean on Pete,Amy Seimetz
actor,\N,"[""Ray""]",Lean on Pete,Travis Fimmel
director,\N,\N,Lean on Pete,Andrew Haigh
writer,written by,\N,Lean on Pete,Andrew Haigh
actor,\N,"[""Sharafat Karim Ayna""]",Aynabaji,Chanchal Chowdhury
actress,\N,"[""Hridi""]",Aynabaji,Masuma Rahman Nabila
actor,\N,"[""Saber Hossain""]",Aynabaji,Partha Barua
director,\N,\N,Aynabaji,Amitabh Reza Chowdhury
writer,story,\N,Aynabaji,Syed Gaosul Alam Shaon
actress,\N,"[""Jane Banner""]",Wind River,Elizabeth Olsen
actor,\N,"[""Cory Lambert""]",Wind River,Jeremy Renner
actor,\N,"[""Ben""]",Wind River,Graham Greene
director,\N,\N,Wind River,Taylor Sheridan
writer,written by,\N,Wind River,Taylor Sheridan
actor,\N,"[""Ruben Stone""]",Sound of Metal,Riz Ahmed
actress,\N,"[""Lou""]",Sound of Metal,Olivia Cooke
actor,\N,"[""Joe""]",Sound of Metal,Paul Raci
director,\N,\N,Sound of Metal,Darius Marder
writer,screenplay by,\N,Sound of Metal,Darius Marder
actor,\N,"[""Dismukes""]",Detroit,John Boyega
actor,\N,"[""Greene""]",Detroit,Anthony Mackie
actor,\N,"[""Larry""]",Detroit,Algee Smith
director,\N,\N,Detroit,Kathryn Bigelow
writer,written by,\N,Detroit,Mark Boal
actress,\N,"[""Katharine Gun""]",Official Secrets,Keira Knightley
actor,\N,"[""Martin Bright""]",Official Secrets,Matt Smith
actor,\N,"[""Peter Beaumont""]",Official Secrets,Matthew Goode
director,\N,\N,Official Secrets,Gavin Hood
writer,written by,\N,Official Secrets,Sara Bernstein
director,\N,\N,Diego Maradona,Asif Kapadia
actor,\N,"[""Vijayakumar""]",Theri,Joseph Vijay
actor,\N,"[""Joseph Kuruvila""]",Theri,Joseph Vijay
actor,\N,"[""Dharmeshwar""]",Theri,Joseph Vijay
director,director,\N,Theri,Atlee
writer,story and screenplay,\N,Theri,Atlee
director,\N,\N,Zero Days,Alex Gibney
writer,written by,\N,Zero Days,Alex Gibney
actor,\N,"[""Rohan Bhatnagar""]",Kaabil,Hrithik Roshan
actress,\N,"[""Supriya Bhatnagar""]",Kaabil,Yami Gautam
actor,\N,"[""Madhavrao Shellar""]",Kaabil,Ronit Roy
director,\N,\N,Kaabil,Sanjay Gupta
writer,writer,\N,Kaabil,Siraj Ahmed
actor,\N,"[""Morteza""]",Abad va yek rooz,Payman Maadi
actor,\N,"[""Mohsen""]",Abad va yek rooz,Navid Mohammadzadeh
actress,\N,"[""Somayeh""]",Abad va yek rooz,Parinaz Izadyar
director,\N,\N,Abad va yek rooz,Saeed Roustayi
writer,\N,\N,Abad va yek rooz,Saeed Roustayi
actor,\N,"[""Arjun""]",Hotel Mumbai,Dev Patel
actor,\N,"[""David""]",Hotel Mumbai,Armie Hammer
actress,\N,"[""Zahra""]",Hotel Mumbai,Nazanin Boniadi
director,\N,\N,Hotel Mumbai,Anthony Maras
writer,written by,\N,Hotel Mumbai,John Collee
actor,\N,"[""Kumail""]",The Big Sick,Kumail Nanjiani
actress,\N,"[""Emily""]",The Big Sick,Zoe Kazan
actress,\N,"[""Beth""]",The Big Sick,Holly Hunter
director,director,\N,The Big Sick,Michael Showalter
writer,written by,\N,The Big Sick,Emily V. Gordon
actor,\N,"[""Wade Wilson""]",Deadpool 2,Ryan Reynolds
actor,\N,"[""Deadpool""]",Deadpool 2,Ryan Reynolds
actor,\N,"[""Voice of Juggernaut""]",Deadpool 2,Ryan Reynolds
director,\N,\N,Deadpool 2,David Leitch
writer,written by,\N,Deadpool 2,Rhett Reese
actor,\N,"[""Wesley Quaid""]",Hostiles,Scott Shepherd
actress,\N,"[""Rosalee Quaid""]",Hostiles,Rosamund Pike
actress,\N,"[""Lucy Quaid""]",Hostiles,Ava Cooper
director,\N,\N,Hostiles,Scott Cooper
writer,written for the screen by,\N,Hostiles,Scott Cooper
actor,\N,"[""Najib""]",The Goat Life,Prithviraj Sukumaran
actor,\N,"[""Khadiri""]",The Goat Life,Jimmy Jean-Louis
actor,\N,"[""Hakim""]",The Goat Life,K.r. Gokul
director,director,\N,The Goat Life,Blessy
writer,story,\N,The Goat Life,Benyamin
actress,\N,"[""Rachel Biegler""]",Private Life,Kathryn Hahn
actor,\N,"[""Richard Grimes""]",Private Life,Paul Giamatti
actress,\N,"[""Clinic Nurse #1""]",Private Life,Gabrielle Reid
director,\N,\N,Private Life,Tamara Jenkins
writer,written by,\N,Private Life,Tamara Jenkins
actor,\N,"[""Ernest Burkhart""]",Killers of the Flower Moon,Leonardo DiCaprio
actor,\N,"[""William Hale""]",Killers of the Flower Moon,Robert De Niro
actress,\N,"[""Mollie Burkhart""]",Killers of the Flower Moon,Lily Gladstone
director,\N,\N,Killers of the Flower Moon,Martin Scorsese
writer,screenplay,\N,Killers of the Flower Moon,Eric Roth
actor,\N,\N,What the Health,Kip Andersen
actress,\N,"[""Nutritionist""]",What the Health,Healthy Emmie
director,\N,\N,What the Health,Kip Andersen
actor,\N,"[""Din""]",Wish Dragon,Jimmy Wong
actor,\N,"[""Long""]",Wish Dragon,John Cho
actress,\N,"[""Mom""]",Wish Dragon,Constance Wu
director,\N,\N,Wish Dragon,Chris Appelhans
writer,written by,\N,Wish Dragon,Chris Appelhans
actor,\N,"[""Deepak Sehgal""]",Pink,Amitabh Bachchan
actress,\N,"[""Minal Arora""]",Pink,Taapsee Pannu
actress,\N,"[""Falak Ali""]",Pink,Kirti Kulhari
director,\N,\N,Pink,Aniruddha Roy Chowdhury
writer,story,\N,Pink,Shoojit Sircar
actress,\N,"[""Tonya""]","I, Tonya",Margot Robbie
actor,\N,"[""Jeff""]","I, Tonya",Sebastian Stan
actress,\N,"[""LaVona""]","I, Tonya",Allison Janney
director,director,\N,"I, Tonya",Craig Gillespie
writer,written by,\N,"I, Tonya",Steven Rogers
actress,\N,"[""Starr Carter""]",The Hate U Give,Amandla Stenberg
actress,\N,"[""Lisa Carter""]",The Hate U Give,Regina Hall
actor,\N,"[""Maverick 'Mav' Carter""]",The Hate U Give,Russell Hornsby
director,\N,\N,The Hate U Give,George Tillman Jr.
writer,screenplay by,\N,The Hate U Give,Audrey Wells
actress,\N,"[""Elisa Esposito""]",The Shape of Water,Sally Hawkins
actress,\N,"[""Zelda Fuller""]",The Shape of Water,Octavia Spencer
actor,\N,"[""Richard Strickland""]",The Shape of Water,Michael Shannon
director,\N,\N,The Shape of Water,Guillermo del Toro
writer,screenplay by,\N,The Shape of Water,Guillermo del Toro
director,\N,\N,Visages villages,JR
writer,written by,\N,Visages villages,JR
actor,\N,"[""Dan Torrance""]",Doctor Sleep,Ewan McGregor
actress,\N,"[""Rose the Hat""]",Doctor Sleep,Rebecca Ferguson
actress,\N,"[""Abra Stone""]",Doctor Sleep,Kyliegh Curran
director,\N,\N,Doctor Sleep,Mike Flanagan
writer,screenplay,\N,Doctor Sleep,Mike Flanagan
actress,\N,"[""Mária""]",Teströl és lélekröl,Alexandra Borbély
actress,\N,"[""Doctor""]",Teströl és lélekröl,Alexandra Borbély
actor,\N,"[""Endre""]",Teströl és lélekröl,Géza Morcsányi
director,\N,\N,Teströl és lélekröl,Ildikó Enyedi
writer,\N,\N,Teströl és lélekröl,Ildikó Enyedi
actor,\N,"[""Stevie""]",Mid90s,Sunny Suljic
actress,\N,"[""Dabney""]",Mid90s,Katherine Waterston
actor,\N,"[""Ian""]",Mid90s,Lucas Hedges
director,director,\N,Mid90s,Jonah Hill
writer,written by,\N,Mid90s,Jonah Hill
actor,\N,"[""Johnny Saxby""]",God's Own Country,Josh O'Connor
actor,\N,"[""Gheorghe Ionescu""]",God's Own Country,Alec Secareanu
actress,\N,"[""Deirdre Saxby""]",God's Own Country,Gemma Jones
director,director,\N,God's Own Country,Francis Lee
writer,written by,\N,God's Own Country,Francis Lee
actress,\N,"[""Marina Vidal""]",Una mujer fantástica,Daniela Vega
actor,\N,"[""Orlando""]",Una mujer fantástica,Francisco Reyes
actor,\N,"[""Gabo""]",Una mujer fantástica,Luis Gnecco
director,\N,\N,Una mujer fantástica,Sebastián Lelio
writer,screenplay,\N,Una mujer fantástica,Sebastián Lelio
actor,\N,"[""Willie Gary""]",The Burial,Jamie Foxx
actor,\N,"[""Jeremiah O'Keefe""]",The Burial,Tommy Lee Jones
actress,\N,"[""Mame Downes""]",The Burial,Jurnee Smollett
director,\N,\N,The Burial,Maggie Betts
writer,screenplay,\N,The Burial,Doug Wright
actress,\N,"[""Moonee""]",The Florida Project,Brooklynn Prince
actress,\N,"[""Halley""]",The Florida Project,Bria Vinaite
