originalTitle,actor,actress,archive_footage,archive_sound,casting_director,cinematographer,composer,director,editor,producer,production_designer,self,writer,isAdult,startYear,runtimeMinutes,genres
The Return of the Living Dead,Clu Gulager James Karen Don Calfa Thom Mathews John Philbin Miguel A. Núñez Jr. Brian Peck,Beverly Randolph Jewel Shepard Linnea Quigley,,,Stanzi Stokes,Jules Brenner,Matt Clifford,Dan O'Bannon,Robert Gordon,Tom Fox,William Stout,,Rudy Ricci John A. Russo Russell Streiner Dan O'Bannon,0,1985,91,Comedy Horror Sci-Fi
The Return to Homs,,,,,,Ossama al Homsi Talal Derki Kahtan Hassoun Orwa Nyrabia,Katarina Holmberg,Talal Derki,Anne Fabini,Orwa Nyrabia,,Abdul Basset Saroot,Talal Derki,0,2013,94,Biography Documentary History
The Revenant,Leonardo DiCaprio Tom Hardy Will Poulter Domhnall Gleeson Forrest Goodluck Paul Anderson Kristoffer Joner Joshua Burge Duane Howard,Melaw Nakehk'o,,,Francine Maisler,Emmanuel Lubezki,Alva Noto Ryuichi Sakamoto,Alejandro G. Iñárritu,Stephen Mirrione,Steve Golin Alejandro G. Iñárritu Arnon Milchan Mary Parent,Jack Fisk,,Mark L. Smith Alejandro G. Iñárritu Michael Punke,0,2015,156,Adventure Drama Western
The Rider,Brady Jandreau Mooney Tim Jandreau Leroy Pourier Cat Clifford Tanner Langdeau James Calhoon Lane Scott Cameron Wright,Lilly Jandreau,,,,Joshua James Richards,Nathan Halpern,Chloé Zhao,Alex O'Flinn,Mollye Asher Sacha Ben Harroche Bert Hamelinck Chloé Zhao,,,Chloé Zhao,0,2017,104,Drama Western
The Right Stuff,Sam Shepard Scott Glenn Ed Harris Dennis Quaid Fred Ward Scott Paulin,Barbara Hershey Kim Stanley Veronica Cartwright Pamela Reed,,,Lynn Stalmaster,Caleb Deschanel,Bill Conti,Philip Kaufman,Glenn Farr Lisa Fruchtman Tom Rolf Stephen A. Rotter,Robert Chartoff Irwin Winkler,Geoffrey Kirkland Gene Rudolf,,Philip Kaufman Tom Wolfe,0,1983,193,Adventure Biography Drama
The Ring,Martin Henderson Brian Cox David Dorfman,Naomi Watts Jane Alexander Lindsay Frost Amber Tamblyn Rachael Bella Daveigh Chase Shannon Cochran,,,Denise Chamian,Bojan Bazelli,Hans Zimmer,Gore Verbinski,Craig Wood,Laurie MacDonald Walter F. Parkes,Tom Duffield,,Ehren Kruger Kôji Suzuki,0,2002,115,Horror Mystery
The Rise and Rise of Bitcoin,,,,,,Nicholas Mross,Simon Stevens,Nicholas Mross,Patrick Lope,Ben Bledsoe Patrick Lope Nicholas Mross,,Daniel Mross Eliza Mross Gabriel Sukenik Matt Zach Harvey Erik Voorhees Brian Mancini Yifu Guo Gavin Andresen Charlie Shrem,Patrick Lope Daniel Mross Nicholas Mross Andrew Lokenauth,0,2014,96,Documentary History News
The Rise of Jordan Peterson,,,Ethan Klein Adolf Hitler,,,Patricia Marcoccia,Oliver Johnson,Patricia Marcoccia,Patricia Marcoccia Deanna Scriver,Patricia Marcoccia,,Gregg Hurwitz Jordan B. Peterson Mikhaila Peterson Lauren Southern Adolf Hitler,Paul Kemp Patricia Marcoccia,0,2019,91,Biography Documentary
The River,Esmond Knight Arthur Shields Thomas E. Breen Nimai Barik,Patricia Walters Nora Swinburne Suprova Mukerjee Radha Adrienne Corri June Tripp,,,,Claude Renoir,M.A. Partha Sarathy,Jean Renoir,George Gale,Kenneth McEldowney Jean Renoir,Eugène Lourié,,Rumer Godden Jean Renoir,0,1951,99,Drama Romance
The Road,Viggo Mortensen Kodi Smit-McPhee Robert Duvall Guy Pearce Michael Kenneth Williams Garret Dillahunt Bob Jennings,Charlize Theron Molly Parker Agnes Herrmann,,,Francine Maisler,Javier Aguirresarobe,Nick Cave Warren Ellis,John Hillcoat,Jon Gregory,Paula Mae Schwartz Steve Schwartz Nick Wechsler,Chris Kennedy,,Joe Penhall Cormac McCarthy,0,2009,111,Drama Thriller
The Road Dance,Will Fletcher Mark Gatiss David Brooks Tom Byrne Scott Miller,Hermione Corfield Felicity Keenan Morven Christie Ali Fumiko Whitney Alison Peebles,,,,Petra Korner,Carlos José Alvarez,Richie Adams,Matt Mayer,Maryilene Blondell Jim Kreutzer Steve Shapiro,Anna Mould,,Richie Adams John MacKay,0,2021,116,Drama
The Road to Guantanamo,Riz Ahmed Farhad Harun Waqar Siddiqui Arfan Usman Shahid Iqbal Sher Khan Jason Salkey Jacob Gaffney Mark Holden Duane Henry,,,,Wendy Brazington,Marcel Zyskind,Harry Escott Molly Nyman,Mat Whitecross Michael Winterbottom,Mat Whitecross Michael Winterbottom,Andrew Eaton Melissa Parmenter Michael Winterbottom,Mark Digby,,,0,2006,95,Drama War
The Roaring Twenties,James Cagney Humphrey Bogart Jeffrey Lynn Frank McHugh Paul Kelly Edward Keane Joe Sawyer,Priscilla Lane Gladys George Elisabeth Risdon,,,,Ernest Haller,,Raoul Walsh,Jack Killifer,,,,Jerry Wald Richard Macaulay Robert Rossen Mark Hellinger,0,1939,106,Crime Drama Thriller
The Roast of Tom Brady,,,,,,,,Beth McCarthy-Miller,,Josh Greenberg,James Connelly Phillip Spina,Tom Brady Kevin Hart Jeffrey Ross Drew Bledsoe Nikki Glaser Randy Moss Kim Kardashian Bert Kreischer Tom Segura Sam Jay,Mike Gibbons Benji Aflalo Pat Barker Carolina Barlow,0,2024,179,Comedy Documentary
The Rock,Sean Connery Nicolas Cage Ed Harris John Spencer David Morse William Forsythe Michael Biehn John C. McGinley Gregory Sporleder,Vanessa Marcil,,,Billy Hopkins Heidi Levitt,John Schwartzman,Nick Glennie-Smith Hans Zimmer,Michael Bay,Richard Francis-Bruce,Jerry Bruckheimer Don Simpson,Michael White,,David Weisberg Douglas Cook Mark Rosner,0,1996,136,Action Adventure Thriller
The Rocket,Sitthiphon Disamoe Suthep Po-ngam Sumrit Warin Samnuan Sankote,Loungnam Kaosainam Boonsri Yindee Alice Keohavong Karen Chanthachone Latvongxay Jarunun Phantachat,,,Non Jungmeier,Andrew Commis,Caitlin Yeo,Kim Mordaunt,Nick Meyers,Sylvia Wilczynski,Pete Baxter,,Kim Mordaunt,0,2013,96,Drama
The Rocking Horse Winner,John Howard Davies Ronald Squire John Mills Hugh Sinclair Charles Goldner Cyril Smith Anthony Holles,Valerie Hobson Susan Richards Melanie Mackenzie,,,,Desmond Dickinson,William Alwyn,Anthony Pelissier,John Seabourne Sr.,John Mills,,,D.H. Lawrence Anthony Pelissier,0,1949,91,Drama Fantasy
The Rocky Horror Picture Show,Tim Curry Barry Bostwick Richard O'Brien Jonathan Adams Peter Hinwood Meat Loaf Charles Gray,Susan Sarandon Patricia Quinn Nell Campbell,,,Joel Thurm,Peter Suschitzky,,Jim Sharman,Graeme Clifford,Michael White,Brian Thomson,,Richard O'Brien Jim Sharman,0,1975,100,Comedy Horror Musical
"The Rolling Stones Olé, Olé, Olé!: A Trip Across Latin America",,,,,,Jonas Mortensen,,Paul Dugdale,Christopher Bird Tom Watson,Sam Bridger,,Mick Jagger Keith Richards Charlie Watts Ronnie Wood Dale Skjerseth Paul Gongaware Adam Wilkes Joyce Smyth Jane Rose Ivald Granato,Sam Bridger Paul Dugdale,0,2016,105,Documentary Music
The Rolling Stones Rock and Roll Circus,,,Ian Anderson Glenn Cornick Clive Bunker Tony Iommi Pete Townshend Roger Daltrey Keith Moon John Entwistle Taj Mahal Jesse Ed Davis,,,Anthony B. Richmond,,Michael Lindsay-Hogg,Ruth Foster Robin Klein,Mick Gochanour,,,,0,1996,65,Documentary Music
The Royal Tenenbaums,Gene Hackman Ben Stiller Luke Wilson Owen Wilson Bill Murray Danny Glover Seymour Cassel Kumar Pallana,Gwyneth Paltrow Anjelica Huston,,,Douglas Aibel,Robert D. Yeoman,Mark Mothersbaugh,Wes Anderson,Dylan Tichenor,Wes Anderson Barry Mendel Scott Rudin,David Wasco,,Wes Anderson Owen Wilson,0,2001,110,Comedy Drama
The Ruling Class,Peter O'Toole Alastair Sim Arthur Lowe Hugh Owens Harry Andrews William Mervyn James Villiers Hugh Burden Michael Bryant,Coral Browne,,,Maude Spector,Ken Hodges,John Cameron,Peter Medak,Ray Lovejoy,Jules Buck Jack Hawkins,Peter Murton,,Peter Barnes,0,1972,154,Comedy Drama Musical
The Russian Five,,,Don Cherry,,,E.J. Enriquez Chris Rosik,Wayne Kramer,Joshua Riehl,David Fabelo,John Aldrich Steve Bannatyne Raisa Churina John Dean,,Scotty Bowman Michael Chovich Jeff Daniels Jim Devellano Kris Draper Sergei Fedorov Viacheslav Fetisov John Finley Gerard Gallant,Keith Gave Joshua Riehl Jason Wehling,0,2018,102,Documentary Sport
The Saint of Second Chances,Charlie Day Elliot Berk Tom Billett Dave Dombrowski,Andrea M. Anderson Ila Borders Abigail Gore,,,Lesley Wolff,Adam Beckman Antonio Cisneros Graham Willoughby,Garth Neustadter Daniel Wohl,Jeff Malmberg Morgan Neville,Alan Lowe Jeff Malmberg,Jon Berg Danny Breen Morgan Neville,Wasly Castillo,Mike Veeck Mike Veeck Jeff Daniels Darryl Strawberry,,0,2023,93,Biography Documentary Drama
The Salt of the Earth,,Leny Wanick Mattos,,,,Hugo Barbier Juliano Ribeiro Salgado,Laurent Petitgand,Juliano Ribeiro Salgado Wim Wenders,Maxine Goedicke Rob Myers,David Rosier,,Sebastião Salgado Wim Wenders Lélia Wanick Salgado Juliano Ribeiro Salgado Juliano Ribeiro Salgado Hugo Barbier Jacques Barthélémy Régis Muller João Pessoa Mattos Maria Teresa Salgado Rocha Bastos,Wim Wenders Juliano Ribeiro Salgado David Rosier,0,2014,110,Biography Documentary History
The Sand Pebbles,Steve McQueen Richard Attenborough Richard Crenna Mako Larry Gates Charles Robinson Simon Oakland Ford Rainey,Candice Bergen Emmanuelle Arsan,,,,Joseph MacDonald,Jerry Goldsmith,Robert Wise,William Reynolds,,Boris Leven,,Richard McKenna Robert Anderson,0,1966,182,Adventure Drama Romance
The Sandlot,Tom Guiry Mike Vitar Art LaFleur Patrick Renna Chauncey Leopardi Marty York Brandon Quintin Adams Grant Gelt Shane Obedzinski Victor DiMattia,,,,Shari Rhodes,Anthony B. Richmond,David Newman,David Mickey Evans,Michael A. Stevenson,Dale De La Torre William S. Gilmore,Chester Kaczenski,,David Mickey Evans Robert Gunter,0,1993,101,Comedy Drama Family
The Savages,Philip Seymour Hoffman Philip Bosco Peter Friedman David Zayas Gbenga Akinnagbe Guy Boyd,Laura Linney Cara Seymour Tonye Patano Debra Monk,,,Jeanne McCarthy,W. Mott Hupfel III,Stephen Trask,Tamara Jenkins,Brian A. Kates,Anne Carey Ted Hope Erica Westheimer,Jane Ann Stewart,,Tamara Jenkins,0,2007,113,Comedy Drama
The Scapegoat,Matthew Rhys Matthew Rhys Anton Lesser Andrew Scott Pip Torrens,Eileen Atkins Jodhi May Phoebe Nicholls Alice Orr-Ewing Sheridan Smith Sylvie Testud,,,Michelle Guish Reg Poerscout-Edgerton,Matt Gray,Adrian Johnston,Charles Sturridge,Adam Green,Sarah Beardsall Dominic Minghella,Will Hughes-Jones,,Daphne Du Maurier Charles Sturridge,0,2012,108,Drama
The Scarlet Claw,Basil Rathbone Nigel Bruce Gerald Hamer Paul Cavanagh Arthur Hohl Miles Mander David Clyde Ian Wolfe,Kay Harding Victoria Horne,,,,George Robinson,,Roy William Neill,Paul Landres,Roy William Neill,,,Edmund L. Hartmann Roy William Neill Paul Gangelin Brenda Weisberg,0,1944,74,Crime Horror Mystery
The Scarlet Empress,John Lodge Sam Jaffe C. Aubrey Smith Gavin Gordon Davison Clark Davison Clark Erville Alderson,Marlene Dietrich Marlene Dietrich Louise Dresser Olive Tell Ruthelma Stevens,,,,Bert Glennon,,Josef von Sternberg,,,,,Manuel Komroff,0,1934,104,Drama History Romance
The Scarlet Letter,Lars Hanson Henry B. Walthall Karl Dane William H. Tooker Fred Herzog Jules Cowles,Lillian Gish Marcelle Corday Mary Hawes Joyce Coad,,,,Hendrik Sartov,Lisa Catarineau Mark Northam,Victor Sjöström,Hugh Wynn,,,,Nathaniel Hawthorne Frances Marion,0,1926,115,Drama
The Scarlet Pimpernel,Leslie Howard Raymond Massey Nigel Bruce Bramwell Fletcher Anthony Bushell Walter Rilla O.B. Clarence,Merle Oberon Joan Gardner Mabel Terry-Lewis,,,,Harold Rosson,Arthur Benjamin,Harold Young,William Hornbeck,Alexander Korda,,,Baroness Emmuska Orczy,0,1934,97,Adventure Drama
The Sea Hawk,Errol Flynn Claude Rains Donald Crisp Alan Hale Henry Daniell James Stephenson Gilbert Roland,Brenda Marshall Flora Robson Una O'Connor,,,,Sol Polito,Erich Wolfgang Korngold,Michael Curtiz,George Amy,,,,Howard Koch Seton I. Miller,0,1940,127,Action Adventure History
The Sea Wolf,Edward G. Robinson John Garfield Alexander Knox Gene Lockhart Barry Fitzgerald Stanley Ridges David Bruce Francis McDonald Howard Da Silva,Ida Lupino,,,,Sol Polito,Erich Wolfgang Korngold,Michael Curtiz,George Amy,,,,Robert Rossen Jack London,0,1941,100,Adventure Drama
The Search,Montgomery Clift Ivan Jandl Wendell Corey Ewart G. Morrison William Rogers Leopold Borkowski Claude Gambier,Aline MacMahon Jarmila Novotna Mary Patton,,,,Emil Berna,Robert Blum,Fred Zinnemann,Hermann Haller,Lazar Wechsler,Robert Furrer,,Richard Schweizer David Wechsler Paul Jarrico,0,1948,104,Drama War
The Searchers,John Wayne Jeffrey Hunter Ward Bond John Qualen Henry Brandon Henry Brandon Ken Curtis Harry Carey Jr.,Vera Miles Natalie Wood Olive Carey,,,,Winton C. Hoch,Max Steiner,John Ford,Jack Murray,,,,Frank S. Nugent Alan Le May,0,1956,119,Adventure Western
The Secret Adventures of Tom Thumb,Nick Upton Frank Passingham John Schofield Robert Heath George Brandt Andy Davis Dave Alex Riddett Andy Joyce,Deborah Collard Mike Gifford,,,,Dave Borthwick Frank Passingham,The Insects,Dave Borthwick,Dave Borthwick,Richard 'Hutch' Hutchison,Dave Borthwick,,Dave Borthwick,0,1993,60,Adventure Animation Drama
The Secret Garden,Herbert Marshall Dean Stockwell Brian Roper Reginald Owen Aubrey Mather George Zucco Lowell Gilmore Heydon Prowse Andrew Knott John Lynch Walter Sparrow Frank Baker,Margaret O'Brien Gladys Cooper Elsa Lanchester Kate Maberly Maggie Smith Laura Crossley Irène Jacob Irène Jacob Valerie Hill,,,Karen Lindsay-Stewart,Ray June Roger Deakins,Bronislau Kaper Zbigniew Preisner,Fred M. Wilcox Agnieszka Holland,Robert Kern Isabelle Lorente,Clarence Brown Fred Fuchs Tom Luddy Fred Roos,Stuart Craig,,Robert Ardrey Frances Hodgson Burnett Frances Hodgson Burnett Caroline Thompson,0,1949,92,Drama Family
The Secret Garden,Herbert Marshall Dean Stockwell Brian Roper Reginald Owen Aubrey Mather George Zucco Lowell Gilmore Heydon Prowse Andrew Knott John Lynch Walter Sparrow Frank Baker,Margaret O'Brien Gladys Cooper Elsa Lanchester Kate Maberly Maggie Smith Laura Crossley Irène Jacob Irène Jacob Valerie Hill,,,Karen Lindsay-Stewart,Ray June Roger Deakins,Bronislau Kaper Zbigniew Preisner,Fred M. Wilcox Agnieszka Holland,Robert Kern Isabelle Lorente,Clarence Brown Fred Fuchs Tom Luddy Fred Roos,Stuart Craig,,Robert Ardrey Frances Hodgson Burnett Frances Hodgson Burnett Caroline Thompson,0,1993,101,Drama Family Fantasy
The Secret Life of Bees,Paul Bettany Tristan Mack Wilds Nate Parker,Dakota Fanning Jennifer Hudson Queen Latifah Alicia Keys Sophie Okonedo Hilarie Burton Morgan Shondrella Avery,,,Kim Coleman Aisha Coley Craig Fincannon Lisa Mae Fincannon,Rogier Stoffers,Mark Isham,Gina Prince-Bythewood,Terilyn A. Shropshire,James Lassiter Joe Pichirallo Lauren Shuler Donner Will Smith,Warren Alan Young,,Gina Prince-Bythewood Sue Monk Kidd,0,2008,114,Drama
The Secret Life of Walter Mitty,Ben Stiller Jon Daly Terence Bernie Hines Adam Scott Paul Fitzgerald Alex Anfanger,Kristen Wiig Kathryn Hahn Grace Rex Amanda Naughton,,,Rachel Tenner,Stuart Dryburgh,Theodore Shapiro,Ben Stiller,Greg Hayden,Stuart Cornfeld Samuel Goldwyn Jr. John Goldwyn Ben Stiller,Jeff Mann,,Steve Conrad James Thurber,0,2013,114,Adventure Comedy Drama
The Secret Life of Words,Tim Robbins Sverre Anker Ousdal Javier Cámara Danny Cunningham Dean Lennox Kelly Daniel Mays Emmanuel Idowu Eddie Marsan Steven Mackintosh,Sarah Polley,,,Shaheen Baig,Jean-Claude Larrieu,,Isabel Coixet,Irene Blecua,Esther García,Pierre-François Limbosch,,Isabel Coixet,0,2005,115,Drama Romance
The Secret of Kells,Evan McGuire Brendan Gleeson Mick Lally Liam Hourican Liam Hourican Paul Tylak Michael McGrath Paul Young Alli McCann,Christen Mooney Nora Twomey,,,,,Bruno Coulais,Tomm Moore,Fabienne Alvarez-Giro,,,,Tomm Moore Fabrice Ziolkowski,0,2009,75,Adventure Animation Family
The Secret of NIMH,Derek Jacobi Dom DeLuise Arthur Malet Wil Wheaton John Carradine,Elizabeth Hartman Hermione Baddeley Shannen Doherty Jodi Hicks Ian Fried,,,,,Jerry Goldsmith,Don Bluth,Jeffrey C. Patch,Don Bluth Gary Goldman John Pomeroy,,,Robert C. O'Brien Don Bluth John Pomeroy Gary Goldman,0,1982,82,Adventure Animation Drama
The Secret of Roan Inish,Mick Lally Pat Slowey Dave Duffy Declan Hannigan Eugene McHugh Tony Rubini Richard Sheridan,Jeni Courtney Eileen Colgan Mairéad Ní Ghallchóir,,,John Hubbard Ros Hubbard,Haskell Wexler,Mason Daring,John Sayles,John Sayles,Sarah Green Maggie Renzi,Adrian Smith,,Rosalie K. Fry John Sayles,0,1994,103,Drama Family Fantasy
The Secret of Santa Vittoria,Anthony Quinn Hardy Krüger Sergio Franchi Renato Rascel Giancarlo Giannini Eduardo Ciannelli Leopoldo Trieste,Anna Magnani Virna Lisi Patrizia Valturri,,,,Giuseppe Rotunno,Ernest Gold,Stanley Kramer,Earle Herdan William A. Lyon,Stanley Kramer,Robert Clatworthy,,Robert Crichton William Rose Ben Maddow,0,1969,139,Comedy Drama War
The Secret of the Sword,John Erwin John Erwin John Erwin Alan Oppenheimer Alan Oppenheimer Alan Oppenheimer George DiCenzo George DiCenzo Lou Scheimer Lou Scheimer Lou Scheimer,Melendy Britt Melendy Britt Melendy Britt Linda Gary Linda Gary Linda Gary Erika Scheimer Erika Scheimer,,,,,Shuki Levy Haim Saban Lou Scheimer,Ed Friedman Lou Kachivas Marsh Lamore Bill Reed,Bob Crawford Joe Gall Rick Gehr,Arthur H. Nadel Masaki Îzuka,,,Larry DiTillio Romeo Muller Bob Forward,0,1985,100,Action Adventure Animation
The Selfish Giant,Conner Chapman Shaun Thomas Sean Gilder Ralph Ineson Ian Burfield Everal A Walsh Elliott Tittensor John Wall,Lorraine Ashbourne Rebecca Manley,,,Amy Hubbard,Mike Eley,Harry Escott,Clio Barnard,Nick Fenton,Tracy O'Riordan,Helen Scott,,Clio Barnard Lila Rawlings Oscar Wilde,0,2013,91,Drama
The Servant,Dirk Bogarde James Fox Richard Vernon Patrick Magee,Sarah Miles Wendy Craig Catherine Lacey Ann Firbank Doris Nolan Jill Melford,,,,Douglas Slocombe,John Dankworth,Joseph Losey,Reginald Mills,Joseph Losey Norman Priggen,Richard Macdonald,,Harold Pinter Robin Maugham,0,1963,116,Drama
The Sessions,John Hawkes William H. Macy Adam Arkin W. Earl Brown,Helen Hunt Moon Bloodgood Annika Marks Rhea Perlman Robin Weigert Blake Lindsley,,,Ronnie Yeskel,Geoffrey Simpson,Marco Beltrami,Ben Lewin,Lisa Bromwell,Judi Levine Ben Lewin Stephen Nemeth,John Mott,,Ben Lewin Mark O'Brien,0,2012,95,Biography Comedy Drama
The Set-Up,Robert Ryan George Tobias Alan Baxter Wallace Ford Percy Helton Hal Baylor Darryl Hickman Kevin O'Morrison James Edwards,Audrey Totter,,,,Milton R. Krasner,,Robert Wise,Roland Gross,Richard Goldstone,,,Art Cohn Joseph Moncure March,0,1949,73,Action Crime Film-Noir
The Seven Five,,,Tom Brokaw Connie Chung Katie Couric,,,Igor Martinovic,Amy Marie Beauchamp Jose Cancela,Tiller Russell,Chad Beck James Carroll,Eli Holzman Aaron Saidman Sheldon Yellen,,Mike Dowd Ken Eurell Walter Yurkiw Chickie Dori Eurell Al Coletto Adam Diaz,,0,2014,104,Biography Crime Documentary
The Seven Year Itch,Tom Ewell Sonny Tufts Robert Strauss Oscar Homolka Victor Moore Donald MacBride,Marilyn Monroe Evelyn Keyes Marguerite Chapman Dolores Rosedale,,,,Milton R. Krasner,Alfred Newman,Billy Wilder,Hugh S. Fowler,Charles K. Feldman Billy Wilder,,,Billy Wilder George Axelrod,0,1955,105,Comedy Romance
The Seventh Cross,Spencer Tracy Hume Cronyn Herbert Rudley Felix Bressart Ray Collins Alexander Granach,Signe Hasso Jessica Tandy Agnes Moorehead Katherine Locke,,,,Karl Freund,Roy Webb,Fred Zinnemann,Thomas Richards,Pandro S. Berman,,,Helen Deutsch Anna Seghers,0,1944,112,Drama Film-Noir Mystery
The Shape of Water,Michael Shannon Doug Jones Richard Jenkins Michael Stuhlbarg David Hewlett Nick Searcy Stewart Arnott Nigel Bennett,Sally Hawkins Octavia Spencer,,,Robin D. Cook,Dan Laustsen,Alexandre Desplat,Guillermo del Toro,Sidney Wolinsky,J. Miles Dale Guillermo del Toro,Paul D. Austerberry,,Guillermo del Toro Vanessa Taylor,0,2017,123,Drama Fantasy Romance
The Shawshank Redemption,Tim Robbins Morgan Freeman Bob Gunton William Sadler Clancy Brown Gil Bellows Mark Rolston James Whitmore Jeffrey DeMunn Larry Brandenburg,,,,Deborah Aquila,Roger Deakins,Thomas Newman,Frank Darabont,Richard Francis-Bruce,Niki Marvin,Terence Marsh,,Stephen King Frank Darabont,0,1994,142,Drama
The Sheik,Khosrow Vaziri,,,,,Jesse Cappe Jon Corbin Igal Hecht Elad Winkler,Michael Hanson,Igal Hecht,Igal Hecht,Aaron Avruskin Igal Hecht Dave Keystone Jian Magen,,Jack Black Jim Duggan Mick Foley Todd W. Fulkerson David Golshan Seth Green Keith Elliot Greenberg Bret Hart Jimmy Hart,Jian Magen Jake Neiman Igal Hecht,0,2014,95,Biography Documentary
The Shining,Jack Nicholson Danny Lloyd Scatman Crothers Barry Nelson Philip Stone Joe Turkel Tony Burton,Shelley Duvall Anne Jackson Lia Beldam,,,James Liggat,John Alcott,Wendy Carlos Rachel Elkind,Stanley Kubrick,Ray Lovejoy,Stanley Kubrick,Roy Walker,,Stephen King Stanley Kubrick Diane Johnson,0,1980,146,Drama Horror
The Shock Doctrine,,,Ewen Cameron Franklin D. Roosevelt Salvador Allende Arnold Harberger Richard Nixon,,,,,Mat Whitecross Michael Winterbottom,Paul Monaghan,Alex Cooke Andrew Eaton Avi Lewis,,Janine Huard Naomi Klein Milton Friedman Donald O. Hebb Edward Korry,Naomi Klein,0,2009,79,Documentary History
The Shootist,John Wayne Ron Howard James Stewart Richard Boone Hugh O'Brian Bill McKinney Harry Morgan John Carradine,Lauren Bacall Sheree North,,,,Bruce Surtees,Elmer Bernstein,Don Siegel,Douglas Stewart,M.J. Frankovich William Self,Robert F. Boyle,,Glendon Swarthout Miles Hood Swarthout Scott Hale,0,1976,100,Drama Romance Western
The Shop Around the Corner,James Stewart Frank Morgan Joseph Schildkraut Felix Bressart William Tracy Edwin Maxwell,Margaret Sullavan Sara Haden Inez Courtney Sarah Edwards,,,,William H. Daniels,Werner R. Heymann,Ernst Lubitsch,Gene Ruggiero,Ernst Lubitsch,,,Samson Raphaelson Miklós László,0,1940,99,Comedy Drama Romance
The Short Game,,,,,,Joseph Aguirre Benoît Chamaillard Michael Dwyer Jim Fabio,Mark Mothersbaugh,Josh Greenbaum,Billy McMillin,Josh Greenbaum Chris Leggett Rafael Marmor,,Amari Avery Jed Dy Allan Kournikova Zamokuhle Nxasana Alexa Pano Sky Sudberry Augustin Valery Yang Kuang Jack Nicklaus Gary Player,,0,2013,99,Documentary Sport
The ShortCut,Aata Sandeep A.V.M Sai Abbhiesheck ETV Prabhakar Balveer Singh,Shagna Sri,,,,S.N. Meera,RR Dhruvan,Ramakrishna Kanchi,Ramakrishna Kanchi,Rajinikanth Punnapu Rangarao Thota,,,Ramakrishna Kanchi,0,2024,138,Action
The Siege of Jadotville,Jamie Dornan Mark Strong Mikael Persbrandt Michael McElhatton Danny Sapani Sam Keeley Jason O'Mara Ronan Raftery Mike Noble,Emmanuelle Seigner,,,Amy Hubbard Christa Schamberger,Nikolaus Summerer,Joseph Trapanese,Richie Smyth,Alex Mackie,Kevin Brodbin Alan Moloney Ted Sarandos Richie Smyth,,,Kevin Brodbin Declan Power,0,2016,108,Action Drama Thriller
The Silence of Swastika,,,,,,,,Anuj Bhardwaj,Abhisek Vats,,,Suzanne Bernert,,0,2021,56,Documentary History
The Silence of the Lambs,Anthony Hopkins Scott Glenn Ted Levine Anthony Heald Charles Napier Tracey Walter,Jodie Foster Brooke Smith Diane Baker Kasi Lemmons,,,Howard Feuer,Tak Fujimoto,Howard Shore,Jonathan Demme,Craig McKay,Ron Bozman Edward Saxon Kenneth Utt,Kristi Zea,,Thomas Harris Ted Tally,0,1991,118,Crime Drama Horror
The Silent Partner,Elliott Gould Christopher Plummer Michael Kirby Sean Sullivan Ken Pogue John Candy Michael Donaghue,Susannah York Céline Lomez Gail Dahms-Bonine,,,Karen Hazzard,Billy Williams,Oscar Peterson,Daryl Duke,George Appleby,Joel B. Michaels Stephen Young,Trevor Williams,,Anders Bodelsen Curtis Hanson,0,1978,106,Comedy Crime Drama
The Simpsons Movie,Dan Castellaneta Dan Castellaneta Dan Castellaneta Hank Azaria Hank Azaria Hank Azaria Harry Shearer Harry Shearer Harry Shearer Albert Brooks Karl Wiedergott Karl Wiedergott,Julie Kavner Julie Kavner Julie Kavner Nancy Cartwright Nancy Cartwright Nancy Cartwright Yeardley Smith Pamela Hayden Pamela Hayden Pamela Hayden Tress MacNeille Tress MacNeille Tress MacNeille,,,,,Hans Zimmer,David Silverman,John Carnochan,James L. Brooks Matt Groening Al Jean Richard Sakai,Brian McEntee,,James L. Brooks Matt Groening Al Jean Ian Maxtone-Graham,0,2007,87,Adventure Animation Comedy
The Sixth Sense,Bruce Willis Haley Joel Osment Trevor Morgan Donnie Wahlberg Peter Anthony Tambakis Jeffrey Zubernis Bruce Norris Glenn Fitzgerald,Toni Collette Olivia Williams,,,Avy Kaufman,Tak Fujimoto,James Newton Howard,M. Night Shyamalan,Andrew Mondshein,Kathleen Kennedy Frank Marshall Barry Mendel,Larry Fulton,,M. Night Shyamalan,0,1999,107,Drama Mystery Thriller
The Sky Is Pink,Farhan Akhtar Rohit Saraf Manas Mittal Sunil Chitkara Puja Sarup,Priyanka Chopra Jonas Zaira Wasim Rajshri Deshpande Lushin Dubey Nirupama Verma,,,Anmol Ahuja Abhishek Banerjee Rachita Kapoor,Andrew Alderslade Nick Cooke Krunal Saadrani Sumer Verma,Mikey McCleary,Shonali Bose,Akshay Maru Manas Mittal,Siddharth Roy Kapur Ronnie Screwvala,Aradhana Seth,,Shonali Bose Juhi Chaturvedi Nilesh Maniyar,0,2019,143,Drama Romance
The Small Back Room,David Farrar Jack Hawkins Leslie Banks Cyril Cusack Robert Morley Emrys Jones Walter Fitzgerald Anthony Bushell,Kathleen Byron Renée Asherson,,,,Christopher Challis,Brian Easdale,Michael Powell Emeric Pressburger,Clifford Turner,Michael Powell Emeric Pressburger,Hein Heckroth,,Nigel Balchin Michael Powell Emeric Pressburger,0,1949,106,Drama Romance Thriller
